week_end,state,season,covid,flu,rsv,ili,ili_rescaled,flu_rescaled,rsv_rescaled,covid_rescaled,beta_flu,beta_rsv,beta_covid,flu_times_coef,rsv_times_coef,covid_times_coef
2024-07-20,New Mexico,24-25,2.31,0.11,0,1.98743,0.04222376165872154,0.008141112618724558,0,0.5906976744186047,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.005896508535764382,0,0.056661722240812715
2024-10-05,New Mexico,24-25,1.29,0.11,0,1.93454,0.037396441711184066,0.008141112618724558,0,0.11627906976744186,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.005896508535764382,0,0.011153882330868645
2024-11-23,New Mexico,24-25,1.9,0.64,0.06,3.1378,0.14721911140439506,0.08005427408412483,0.08823529411764705,0.39999999999999997,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.05798233393501642,0.015599960125229975,0.038369355218188135
2024-11-30,New Mexico,24-25,2.23,1.17,0.08,4.15465,0.24002796541561594,0.15196743554952508,0.11764705882352941,0.5534883720930233,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.11006815933426845,0.02079994683363997,0.05309247989493475
2024-12-14,New Mexico,24-25,2.22,1.86,0.2,4.93941,0.3116537472652945,0.24559023066485752,0.29411764705882354,0.5488372093023257,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.17787800749555885,0.05199986708409992,0.05264632460170002
2024-06-22,New Mexico,24-25,1.8,0.13,0,2.35102,0.07540896225855416,0.01085481682496608,0,0.35348837209302325,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.007862011381019177,0,0.03390780228584068
2024-06-29,New Mexico,24-25,1.62,0.06,0,2.18119,0.05990841874011422,0.001356852103120759,0,0.26976744186046514,0.7242877984763916,0.17679954808593973,0.09592338804547035,9.827514226273964e-4,0,0.02587700700761526
2024-07-13,New Mexico,24-25,1.92,0.1,0.02,2.14299,0.056421868881994915,0.0067842605156037995,0.029411764705882353,0.40930232558139534,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.004913757113136985,0.005199986708409992,0.03926166580465763
2024-08-10,New Mexico,24-25,2.67,0.1,0.02,1.92567,0.03658686848496631,0.0067842605156037995,0.029411764705882353,0.7581395348837209,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.004913757113136985,0.005199986708409992,0.07272331279726356
2024-08-24,New Mexico,24-25,2.94,0.07,0,2.33022,0.07351052673371432,0.0027137042062415203,0,0.8837209302325582,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.0019655028452547946,0,0.0847695057146017
2025-01-04,New Mexico,24-25,2.4,7.34,0.68,12.0529,0.9609086569572642,0.9891451831750339,1,0.6325581395348837,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.7164257870953723,0.17679954808593973,0.060677119879925426
2024-06-01,New Mexico,24-25,1.04,0.48,0.03,3.26078,0.15844361144501065,0.05834464043419267,0.044117647058823525,0,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.04225831117297807,0.007799980062614988,0
2024-07-27,New Mexico,24-25,2.53,0.05,0.01,1.52481,0,0,0.014705882352941176,0.6930232558139534,0.7242877984763916,0.17679954808593973,0.09592338804547035,0,0.002599993354204996,0.06647713869197712
2024-08-17,New Mexico,24-25,3.19,0.1,0,2.12563,0.054837405386263194,0.0067842605156037995,0,1,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.004913757113136985,0,0.09592338804547035
2024-08-31,New Mexico,24-25,2.58,0.11,0,2.33016,0.07350505047739263,0.008141112618724558,0,0.7162790697674419,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.005896508535764382,0,0.06870791515815086
2024-09-28,New Mexico,24-25,1.17,0.12,0.01,1.96637,0.04030159568982119,0.009497964721845317,0.014705882352941176,0.06046511627906972,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.006879259958391778,0.002599993354204996,0.00580001881205169
