week_end,state,season,ili_rescaled,flu_rescaled,rsv_rescaled,covid_rescaled,rsv_lag1,rsv_lag2,rsv_lag3,rsv_lag4,rsv_lag5,cov_lag1,cov_lag2,cov_lag3,cov_lag4,cov_lag5,cov_lead1,cov_lead2,cov_lead3,cov_lead4,cov_lead5
2023-01-07,Maryland,22-23,0.2925308362752795,0.15111695137976344,0.163716814159292,0.8674157303370786,0.2743362831858407,0.3672566371681415,0.411504424778761,0,0.00442477876106194,0.6606741573033708,0.5797752808988764,0.42696629213483145,0.01348314606741572,0.03820224719101123,0.15280898876404492,0.09887640449438202,0.01797752808988763,0.01348314606741572,0.3325842696629213
2023-03-11,Maryland,22-23,0.12771599257537705,0.01839684625492772,0.02212389380530973,0.15280898876404492,0.163716814159292,0.2743362831858407,0.3672566371681415,0.411504424778761,0,0.8674157303370786,0.6606741573033708,0.5797752808988764,0.42696629213483145,0.01348314606741572,0.09887640449438202,0.01797752808988763,0.01348314606741572,0.3325842696629213,0.3573033707865168
2023-03-25,Maryland,22-23,0.1367783999625649,0.02102496714848883,0.00442477876106194,0.09887640449438202,0.02212389380530973,0.163716814159292,0.2743362831858407,0.3672566371681415,0.411504424778761,0.15280898876404492,0.8674157303370786,0.6606741573033708,0.5797752808988764,0.42696629213483145,0.01797752808988763,0.01348314606741572,0.3325842696629213,0.3573033707865168,0.3820224719101123
2023-04-29,Maryland,22-23,0,0,0.00884955752212389,0.01797752808988763,0.00442477876106194,0.02212389380530973,0.163716814159292,0.2743362831858407,0.3672566371681415,0.09887640449438202,0.15280898876404492,0.8674157303370786,0.6606741573033708,0.5797752808988764,0.01348314606741572,0.3325842696629213,0.3573033707865168,0.3820224719101123,0.42696629213483145
2023-05-13,Maryland,22-23,0.02669675337392265,0.00394218134034165,0.00442477876106194,0.01348314606741572,0.00884955752212389,0.00442477876106194,0.02212389380530973,0.163716814159292,0.2743362831858407,0.01797752808988763,0.09887640449438202,0.15280898876404492,0.8674157303370786,0.6606741573033708,0.3325842696629213,0.3573033707865168,0.3820224719101123,0.42696629213483145,0.7820224719101123
2022-10-15,Maryland,22-23,0.2650195234307165,0.11038107752956636,0.7079646017699115,0.3325842696629213,0.00442477876106194,0.00884955752212389,0.00442477876106194,0.02212389380530973,0.163716814159292,0.01348314606741572,0.01797752808988763,0.09887640449438202,0.15280898876404492,0.8674157303370786,0.3573033707865168,0.3820224719101123,0.42696629213483145,0.7820224719101123,0.6629213483146068
2022-10-22,Maryland,22-23,0.448115161378096,0.22470433639947435,0.8584070796460176,0.3573033707865168,0.7079646017699115,0.00442477876106194,0.00884955752212389,0.00442477876106194,0.02212389380530973,0.3325842696629213,0.01348314606741572,0.01797752808988763,0.09887640449438202,0.15280898876404492,0.3820224719101123,0.42696629213483145,0.7820224719101123,0.6629213483146068,0.5303370786516854
2022-10-29,Maryland,22-23,0.7130549619670051,0.4796320630749014,1,0.3820224719101123,0.8584070796460176,0.7079646017699115,0.00442477876106194,0.00884955752212389,0.00442477876106194,0.3573033707865168,0.3325842696629213,0.01348314606741572,0.01797752808988763,0.09887640449438202,0.42696629213483145,0.7820224719101123,0.6629213483146068,0.5303370786516854,0.5011235955056179
2022-11-26,Maryland,22-23,1,1,0.47787610619469023,0.42696629213483145,1,0.8584070796460176,0.7079646017699115,0.00442477876106194,0.00884955752212389,0.3820224719101123,0.3573033707865168,0.3325842696629213,0.01348314606741572,0.01797752808988763,0.7820224719101123,0.6629213483146068,0.5303370786516854,0.5011235955056179,0.4202247191011236
2022-12-17,Maryland,22-23,0.5544584999280762,0.4204993429697766,0.2566371681415929,0.7820224719101123,0.47787610619469023,1,0.8584070796460176,0.7079646017699115,0.00442477876106194,0.42696629213483145,0.3820224719101123,0.3573033707865168,0.3325842696629213,0.01348314606741572,0.6629213483146068,0.5303370786516854,0.5011235955056179,0.4202247191011236,0.31011235955056177
2023-01-14,Maryland,22-23,0.16976112610247154,0.070959264126149793,0.10176991150442476,0.6629213483146068,0.2566371681415929,0.47787610619469023,1,0.8584070796460176,0.7079646017699115,0.7820224719101123,0.42696629213483145,0.3820224719101123,0.3573033707865168,0.3325842696629213,0.5303370786516854,0.5011235955056179,0.4202247191011236,0.31011235955056177,0.24719101123595505
2023-01-21,Maryland,22-23,0.1252428513740925,0.04730617608409986,0.05752212389380531,0.5303370786516854,0.10176991150442476,0.2566371681415929,0.47787610619469023,1,0.8584070796460176,0.6629213483146068,0.7820224719101123,0.42696629213483145,0.3820224719101123,0.3573033707865168,0.5011235955056179,0.4202247191011236,0.31011235955056177,0.24719101123595505,0.08089887640449436
2023-01-28,Maryland,22-23,0.13733472674995964,0.035479632063074897,0.05309734513274336,0.5011235955056179,0.05752212389380531,0.10176991150442476,0.2566371681415929,0.47787610619469023,1,0.5303370786516854,0.6629213483146068,0.7820224719101123,0.42696629213483145,0.3820224719101123,0.4202247191011236,0.31011235955056177,0.24719101123595505,0.08089887640449436,0.05842696629213482
2023-02-04,Maryland,22-23,0.13329832460714836,0.03153745072273325,0.04424778761061947,0.4202247191011236,0.05309734513274336,0.05752212389380531,0.10176991150442476,0.2566371681415929,0.47787610619469023,0.5011235955056179,0.5303370786516854,0.6629213483146068,0.7820224719101123,0.42696629213483145,0.31011235955056177,0.24719101123595505,0.08089887640449436,0.05842696629213482,0.01573033707865167
2023-02-18,Maryland,22-23,0.14055137010636068,0.01314060446780551,0.03539823008849557,0.31011235955056177,0.04424778761061947,0.05309734513274336,0.05752212389380531,0.10176991150442476,0.2566371681415929,0.4202247191011236,0.5011235955056179,0.5303370786516854,0.6629213483146068,0.7820224719101123,0.24719101123595505,0.08089887640449436,0.05842696629213482,0.01573033707865167,0
2023-02-25,Maryland,22-23,0.12503487874329067,0.01708278580814717,0.03539823008849557,0.24719101123595505,0.03539823008849557,0.04424778761061947,0.05309734513274336,0.05752212389380531,0.10176991150442476,0.31011235955056177,0.4202247191011236,0.5011235955056179,0.5303370786516854,0.6629213483146068,0.08089887640449436,0.05842696629213482,0.01573033707865167,0,0.38426966292134823
2023-04-01,Maryland,22-23,0.10332080298232751,0.02365308804204993,0.00884955752212389,0.08089887640449436,0.03539823008849557,0.03539823008849557,0.04424778761061947,0.05309734513274336,0.05752212389380531,0.24719101123595505,0.31011235955056177,0.4202247191011236,0.5011235955056179,0.5303370786516854,0.05842696629213482,0.01573033707865167,0,0.38426966292134823,0.4022471910112359
2023-04-08,Maryland,22-23,0.06152523661219517,0.01182654402102496,0.00442477876106194,0.05842696629213482,0.00884955752212389,0.03539823008849557,0.03539823008849557,0.04424778761061947,0.05309734513274336,0.08089887640449436,0.24719101123595505,0.31011235955056177,0.4202247191011236,0.5011235955056179,0.01573033707865167,0,0.38426966292134823,0.4022471910112359,0.3865168539325842
2023-05-06,Maryland,22-23,0.01812308166911898,0,0.00442477876106194,0.01573033707865167,0.00442477876106194,0.00884955752212389,0.03539823008849557,0.03539823008849557,0.04424778761061947,0.05842696629213482,0.08089887640449436,0.24719101123595505,0.31011235955056177,0.4202247191011236,0,0.38426966292134823,0.4022471910112359,0.3865168539325842,0.9213483146067416
2023-05-20,Maryland,22-23,0.04817339371472047,0.0026281208935611,0,0,0.00442477876106194,0.00442477876106194,0.00884955752212389,0.03539823008849557,0.03539823008849557,0.01573033707865167,0.05842696629213482,0.08089887640449436,0.24719101123595505,0.31011235955056177,0.38426966292134823,0.4022471910112359,0.3865168539325842,0.9213483146067416,1
2022-10-08,Maryland,22-23,0.16480964438413237,0.04204993429697765,0.4469026548672566,0.38426966292134823,0,0.00442477876106194,0.00442477876106194,0.00884955752212389,0.03539823008849557,0,0.01573033707865167,0.05842696629213482,0.08089887640449436,0.24719101123595505,0.4022471910112359,0.3865168539325842,0.9213483146067416,1,0.37078651685393255
2022-11-05,Maryland,22-23,0.9720519446307534,0.7424441524310118,0.9380530973451326,0.4022471910112359,0.4469026548672566,0,0.00442477876106194,0.00442477876106194,0.00884955752212389,0.38426966292134823,0,0.01573033707865167,0.05842696629213482,0.08089887640449436,0.3865168539325842,0.9213483146067416,1,0.37078651685393255,0
2022-11-12,Maryland,22-23,0.9873604633630216,0.8028909329829172,0.8584070796460176,0.3865168539325842,0.9380530973451326,0.4469026548672566,0,0.00442477876106194,0.00442477876106194,0.4022471910112359,0.38426966292134823,0,0.01573033707865167,0.05842696629213482,0.9213483146067416,1,0.37078651685393255,0,0.10919540229885057
